,score,tier
id-topaz,0.048682370368832856,10
id-juno,0.04806746308810647,10
id-tata-tgn-atlantic-south,0.04407001804026976,10
id-ketchcan1-submarine-fiber-cable-system,0.042992920534600805,10
id-proa,0.04173645652100241,10
id-pacific-crossing-1-pc-1,0.034736638390701076,10
id-grace-hopper,0.03277282040312806,10
id-yellow,0.03221548811066083,10
id-faster,0.029763629609258165,10
id-seabras-1,0.027729515684003354,10
id-havfrueaec-2,0.027298051604742246,10
id-jupiter,0.026042564043726363,10
id-hannibal-system,0.02580604663256946,10
id-didon,0.02580604663256946,10
id-amitie,0.025186374801354282,10
id-apollo,0.02486457545981356,10
id-moratelindo-international-cable-system-1-mic-1,0.024425760359798408,10
id-batam-singapore-cable-system-bscs,0.024425760359798408,10
id-asia-pacific-gateway-apg,0.023696712939748062,10
id-australia-japan-cable-ajc,0.02357482125168248,10
id-alaska-united-west-au-west,0.02346142174699074,10
id-senegal-horn-of-africa-regional-express-share-cable,0.023311744394342193,10
id-glo-1,0.023242982721994262,10
id-trapani-kelibia-2-keltra-2,0.02306930484711895,10
id-tata-tgn-western-europe,0.022609145361678868,10
id-olisipo,0.022131377058550065,10
id-thailand-indonesia-singapore-tis,0.022006489782209315,10
id-beaufort,0.021726974825300352,10
id-havsil,0.020828036274260532,10
id-skagerrak-4,0.020828036274260532,10
id-japan-guam-australia-north-jga-n,0.020797070699907504,10
id-marea,0.020547400246648365,10
id-curie,0.01945456450983554,10
id-pan-european-crossing-uk-ireland,0.019288393804847984,10
id-apricot,0.018999503493800834,10
id-confluence-1,0.018466254202333533,10
id-i2i-cable-network-i2icn,0.0180988136701696,10
id-batam-sarawak-internet-cable-system-basics,0.01788079584745163,10
id-mid-atlantic-crossing-mac,0.017595605069725153,10
id-high-capacity-undersea-guernsey-optical-fibre-hugo,0.017474529433775376,10
id-e2a,0.01721939376083795,10
id-ellalink,0.01716022124682665,10
id-isles-of-scilly-cable,0.01694924374812501,10
id-eac-c2c,0.01674355329893633,10
id-new-cross-pacific-ncp-cable-system,0.01666757816578538,10
id-southeast-asia-japan-cable-2-sjc2,0.01627412311931581,10
id-matrix-cable-system,0.016146656419439836,10
id-italy-libya,0.015959138125968244,10
id-flag-europe-asia-fea,0.015949391876421727,10
id-pipe-pacific-cable-1-ppc-1,0.01587391593263762,10
id-halaihai,0.01576756475961009,10
id-pacific-light-cable-network-plcn,0.015565378056751419,10
id-asia-direct-cable-adc,0.01538248109126652,10
id-bulikula,0.014990680607880958,10
id-batam-dumai-melaka-bdm,0.014922386353379303,10
id-bifrost,0.014489084118547269,10
id-sealink-south,0.014333523146618682,10
id-go-1-mediterranean-cable-system,0.014092843680399527,10
id-insica,0.01397842239983826,10
id-bugio,0.01386075802188548,10
id-umo,0.013488882854325448,10
id-japan-information-highway-jih,0.013286716437508067,10
id-indigo-west,0.013015550788122313,10
id-transworld-tw1,0.012871637340417989,10
id-columbus-iii-azores-portugal,0.012753876870690645,10
id-tonga-cable,0.012676426900392612,9
id-continente-madeira,0.012622519414862593,9
id-tata-tgn-pacific,0.012464477273238307,9
id-brusa,0.012419249277245716,9
id-pgascom,0.01230971506418579,9
id-americas-ii,0.0121862787736409,9
id-seax-1,0.012043848342324007,9
id-interchange-cable-network-1-icn1,0.011993310475022001,9
id-tata-tgn-tata-indicom,0.011845891279075732,9
id-mist,0.011678417729778016,9
id-pan-american-crossing-pac,0.011446721242950948,9
id-nuvem,0.011302362570024479,9
id-indonesia-global-gateway-igg-system,0.010834848220159326,9
id-tabua,0.010807035096623804,9
id-est-tet,0.010754687500900861,9
id-echo,0.010752080210751058,9
id-trans-pacific-express-tpe-cable-system,0.010724529097454165,9
id-india-asia-xpress-iax,0.010460317213224326,9
id-orca,0.010319199578579913,9
id-asia-connect-cable-1-acc-1,0.010263509590631745,9
id-the-east-african-marine-system-teams,0.010251358785738211,9
id-apcn-2,0.010240564796701521,9
id-japan-guam-australia-south-jga-s,0.01019645835187104,9
id-northstar,0.010181730685889633,9
id-south-american-crossing-sac,0.010064123963001591,9
id-flag-north-asia-loopreach-north-asia-loop,0.009968296440818324,9
id-europe-india-gateway-eig,0.009849214709190738,9
id-seamewe-4,0.009811216418086856,9
id-celia,0.009677431443803897,9
id-global-caribbean-network-gcn,0.0096180178995914,9
id-south-atlantic-inter-link-sail,0.009563846161681325,9
id-sea-h2x,0.009558940676589876,9
id-new-cam-ring,0.009250659045435842,9
id-sea-us,0.0091744719956035,9
id-fish-west,0.0090378157647781,9
id-cat-submarine-network-csn,0.008965362566757368,9
id-monet,0.008917717061869711,9
id-imewe,0.008915982071495654,9
id-alaska-united-southeast-au-se,0.008892102197830284,9
id-sealink,0.008814178174777742,9
id-medusa-submarine-cable-system,0.008751032689822547,9
id-unitirreno,0.008724112155244334,9
id-south-atlantic-cable-system-sacs,0.008708653391011458,9
id-kodiak-kenai-fiber-link-kkfl,0.008648176431160464,9
id-eviny-digital,0.008585463736021289,9
id-hachijojima-mainland,0.008517839149672355,9
id-danice,0.008444521125680546,9
id-jasuka,0.008253087778765331,9
id-hantru1-cable-system,0.008246319829171888,9
id-jakarta-bangka-batam-singapore-b2js,0.008150452428902182,9
id-uae-iran,0.008095203502199253,9
id-barat-timur-indonesia-2-bti-2,0.008049314188886724,9
id-pacific-caribbean-cable-system-pccs,0.00804062337424729,9
id-fish-north,0.007984342421885556,9
id-atlas-offshore,0.007952939629958267,9
id-ioema,0.007937516900140853,9
id-bay-of-bengal-gateway-bbg,0.00793253614315932,9
id-janna,0.007926130024855099,9
id-hawk,0.007845252781264309,9
id-hawaiki-nui-1,0.00780310159050892,9
