cable_key,risk_score,max_lp_risk,landing_points,risk_tier
id-philippine-domestic-submarine-cable-network-pdscn,409.60390842262984,35.09152140312628,33,10
id-converge-domestic-submarine-cable-network-cdscn,248.5830927644581,24.499759978117616,22,10
id-eac-c2c,221.66756652699675,39.562097160664806,16,10
id-america-movil-submarine-cable-system-1-amx-1,220.0311048293923,67.79335438014346,15,10
id-submarine-cable-in-the-philippines-scip,209.53208117568272,39.562097160664806,17,10
id-2africa,197.8383025749645,31.186430511861882,50,10
id-asia-pacific-gateway-apg,183.09346203041636,69.08999734350613,11,10
id-pldt-domestic-fiber-optic-network-dfon,171.16642484571247,31.943038600339154,13,10
id-southeast-asia-japan-cable-2-sjc2,148.25324428603946,32.917035661994284,10,10
id-asia-africa-europe-1-aae-1,131.82838786873555,27.635614233635437,20,10
id-south-america-1-sam-1,129.53867806054825,38.41312501796746,16,10
id-apcn-2,127.39799663015235,39.562097160664806,10,10
id-asia-link-cable-alc,125.42925226451571,69.08999734350613,8,10
id-asia-connect-cable-1-acc-1,124.48402914546075,36.650338930247266,10,10
id-southern-caribbean-fiber,118.44165025810892,38.41312501796746,16,10
id-asia-direct-cable-adc,114.65607334455919,39.562097160664806,7,10
id-seamewe-4,113.59490279891762,30.90981727420907,16,10
id-flag-europe-asia-fea,106.04480501867377,26.754397617401867,17,10
id-aqualink,104.45842751734595,28.036168390722118,11,10
id-arcos,102.67409781561277,31.399341493863698,24,10
id-apricot,101.46852536158308,31.011495704979687,8,10
id-okinawa-remote-islands,100.18536978507696,29.755988690496093,9,10
id-japan-information-highway-jih,92.23323643624772,26.82647654749933,9,10
id-medusa-submarine-cable-system,88.71293026132629,24.71324238479803,17,10
id-bifrost,86.34423389489184,36.650338930247266,8,10
id-antillas-1,82.19326516376873,50.79392366990503,3,10
id-americas-ii,81.86954648455234,36.775456249459104,9,10
id-mataram-kupang-cable-system-mkcs,81.34375012467933,47.19558542545573,7,10
id-seamewe-5,80.73914941281932,27.635614233635437,18,10
id-indonesia-global-gateway-igg-system,79.90531672713757,36.650338930247266,10,10
id-seamewe-6,79.54530697997886,27.635614233635437,17,10
id-eastern-caribbean-fiber-system-ecfs,78.82138052051351,29.486313324286357,13,10
id-hawaiki-nui-1,78.71011265503601,36.650338930247266,9,10
id-falcon,78.50511253634262,30.90981727420907,19,10
id-barat-timur-indonesia-2-bti-2,78.39851721743956,29.93780591710608,14,10
id-tabua,76.91076663059786,38.45988189579043,6,10
id-sat-3wasc,75.72704479090865,30.285425846814075,12,10
id-south-american-crossing-sac,75.06092710860021,30.203182496939053,11,10
id-africa-coast-to-europe-ace,74.84015210817624,13.239046567622946,18,10
id-tam-1,74.65415613212278,38.41312501796746,11,10
id-celia,72.17508655843153,38.41312501796746,5,10
id-crosslake-fibre,69.95522203857307,63.88215151278178,2,10
id-flag-atlantic-1-fa-1,69.10061288755382,43.23824878715324,4,10
id-sea-h2x,68.95968495002876,24.484307513520445,6,10
id-brusa,68.61630751490651,38.41312501796746,4,10
id-jasuka,67.92589327688555,36.650338930247266,7,10
id-taino-carib,67.56623228043163,36.16689078656794,3,10
id-asia-america-gateway-aag-cable-system,67.52179122923096,26.754397617401867,10,10
id-flag-north-asia-loopreach-north-asia-loop,67.36729439521251,25.716195992510837,4,10
id-asia-submarine-cable-express-asecahaya-malaysia,67.01441786393309,24.484307513520445,6,10
id-sea-us,65.69444335310321,31.011495704979687,7,10
id-southeast-asia-japan-cable-sjc,65.23471723512597,24.76090740139623,6,10
id-balok,64.82965571810718,39.46541896949385,2,10
id-jaka2ladema,63.77861726876806,36.78185574181616,10,10
id-brazilian-festoon,60.483710578205645,30.203182496939053,14,10
id-peace-cable,59.49752844891725,27.635614233635437,14,10
id-prat,59.344818551634084,16.341676398804992,12,10
id-ice-iv,58.48235190125341,36.650338930247266,7,10
id-new-cross-pacific-ncp-cable-system,57.73072139618839,21.41895774323217,7,10
id-link-3-phase-2,57.64658894444756,34.320466429792916,3,10
id-pacific-caribbean-cable-system-pccs,57.29251256492063,38.41312501796746,9,10
id-africa-1,55.854783843005826,27.635614233635437,11,10
id-pacific-light-cable-network-plcn,55.289728300754874,30.704107322800237,3,10
id-jakarta-bangka-bintan-batam-singapore-b3js,55.1221552924338,36.650338930247266,6,10
id-imewe,54.792338911017,27.635614233635437,9,10
id-east-west,54.54382638857652,50.819279841492474,3,9
id-curie,54.130560166383745,30.704107322800237,3,9
id-tata-tgn-intra-asia-tgn-ia,53.700648609369,25.241193169969705,4,9
id-gtmo-pr,53.53378330990498,45.64487804157068,2,9
id-tata-tgn-pacific,53.298161149015414,38.45988189579043,5,9
id-jakarta-bangka-batam-singapore-b2js,52.83116393288244,36.650338930247266,5,9
