lp_id,lp_name,country,risk_score,risk_tier,nearby_disasters
danang-vietnam,"Danang, Vietnam",Vietnam,69.08999734350613,10,17
ponce-pr-united-states,"Ponce, PR, United States",United States,67.79335438014346,10,11
buffalo-ny-united-states,"Buffalo, NY, United States",United States,63.88215151278178,10,20
haina-dominican-republic,"Haina, Dominican Republic",Dominican Republic,50.819279841492474,10,35
cacique-dominican-republic,"Cacique, Dominican Republic",Dominican Republic,50.79392366990503,10,35
pringgabaya-indonesia,"Pringgabaya, Indonesia",Indonesia,47.19558542545573,10,6
punta-salinas-pr-united-states,"Punta Salinas, PR, United States",United States,45.64487804157068,10,11
santo-domingo-dominican-republic,"Santo Domingo, Dominican Republic",Dominican Republic,43.8498203039316,10,31
island-park-ny-united-states,"Island Park, NY, United States",United States,43.23824878715324,10,13
batangas-philippines,"Batangas, Philippines",Philippines,39.562097160664806,10,13
senggigi-indonesia,"Senggigi, Indonesia",Indonesia,39.46541896949385,10,8
los-angeles-ca-united-states,"Los Angeles, CA, United States",United States,38.45988189579043,10,18
san-juan-pr-united-states,"San Juan, PR, United States",United States,38.41312501796746,10,10
lombok-indonesia,"Lombok, Indonesia",Indonesia,37.57971261963899,10,7
mataram-indonesia,"Mataram, Indonesia",Indonesia,36.78185574181616,10,7
miramar-pr-united-states,"Miramar, PR, United States",United States,36.775456249459104,10,10
jakarta-indonesia,"Jakarta, Indonesia",Indonesia,36.650338930247266,10,15
condado-beach-pr-united-states,"Condado Beach, PR, United States",United States,36.16689078656794,10,10
durres-albania,"Durres, Albania",Albania,35.7393586858152,10,15
ilijan-philippines,"Ilijan, Philippines",Philippines,35.09152140312628,10,11
ancol-indonesia,"Ancol, Indonesia",Indonesia,34.320466429792916,10,15
quy-nhon-vietnam,"Quy Nhon, Vietnam",Vietnam,32.917035661994284,10,14
legazpi-city-philippines,"Legazpi City, Philippines",Philippines,31.943038600339154,10,15
isla-verde-pr-united-states,"Isla Verde, PR, United States",United States,31.399341493863698,10,10
luanda-angola,"Luanda, Angola",Angola,31.186430511861882,10,13
davao-philippines,"Davao, Philippines",Philippines,31.011495704979687,10,20
colombo-sri-lanka,"Colombo, Sri Lanka",Sri Lanka,30.90981727420907,10,18
el-segundo-ca-united-states,"El Segundo, CA, United States",United States,30.704107322800237,10,18
cacuaco-angola,"Cacuaco, Angola",Angola,30.285425846814075,10,14
rio-de-janeiro-brazil,"Rio de Janeiro, Brazil",Brazil,30.203182496939053,10,18
pik2-indonesia,"PIK2, Indonesia",Indonesia,29.93780591710608,10,14
yomitan-japan,"Yomitan, Japan",Japan,29.755988690496093,10,8
le-lamentin-martinique,"Le Lamentin, Martinique",Martinique,29.486313324286357,10,14
ratmalana-sri-lanka,"Ratmalana, Sri Lanka",Sri Lanka,29.440980430110063,10,21
hermosa-beach-ca-united-states,"Hermosa Beach, CA, United States",United States,29.119658763369795,10,18
schoelcher-martinique,"Schoelcher, Martinique",Martinique,29.102930063476837,10,14
mt-lavinia-sri-lanka,"Mt. Lavinia, Sri Lanka",Sri Lanka,29.040481123993775,10,21
cavite-philippines,"Cavite, Philippines",Philippines,29.006502362280827,10,14
redondo-beach-ca-united-states,"Redondo Beach, CA, United States",United States,28.671512158560994,10,18
christchurch-new-zealand,"Christchurch, New Zealand",New Zealand,28.036168390722118,10,4
karachi-pakistan,"Karachi, Pakistan",Pakistan,27.635614233635437,10,9
naha-japan,"Naha, Japan",Japan,26.82647654749933,10,8
lantau-island-china,"Lantau Island, China",China,26.754397617401867,10,13
hong-kong-china,"Hong Kong, China",China,26.736444712312867,10,12
