,betweenness,importance_tier
aasiaat-greenland,0.0,1
aberdeen-united-kingdom,0.0,1
abidjan-cte-divoire,0.0021649476809115034,9
abu-dhabi-united-arab-emirates,0.001845394484601197,9
abu-talat-egypt,0.0008481060022958247,9
accra-ghana,0.0010671952483001846,9
achnaba-united-kingdom,0.0,1
addenbroke-island-bc-canada,0.0,1
adelaide-sa-australia,0.0,1
aden-yemen,0.0,1
aeng-batu-batu-indonesia,0.0,1
aethos-greece,1.2107563594977783e-05,8
afu-brazil,0.0,1
agat-guam,0.014448359223340155,10
agats-indonesia,0.0,1
agatti-india,0.0,1
agios-sostis-greece,0.0,1
aguimes-canary-islands-spain,0.0,1
aguni-japan,0.0,1
ahousat-bc-canada,0.0,1
aikerness-bay-united-kingdom,0.0,1
aitutaki-cook-islands,0.0,1
ajaccio-france,0.0007499482545793977,9
ajigaura-japan,0.006341480570531459,10
akita-japan,0.0007463255946783606,9
aktau-kazakhstan,0.0,1
akulivik-qc-canada,0.0,1
akutan-ak-united-states,0.0,1
al-bayda-libya,0.0,1
al-bustan-oman,0.0,1
al-daayen-qatar,0.0,1
al-faw-iraq,0.0014586731378711329,9
al-ghariya-qatar,0.0,1
al-ghaydah-yemen,0.0,1
al-hidd-bahrain,0.00025022298096287417,8
al-hudaydah-yemen,0.00016374038385589,8
al-kheesa-qatar,0.0,1
al-khobar-saudi-arabia,0.002281987462329622,9
al-khums-libya,0.0,1
al-safat-kuwait,0.0,1
al-seeb-oman,0.00022427820183077893,8
alakanuk-ak-united-states,0.0,1
aldeburgh-united-kingdom,0.0,1
alenquer-brazil,0.0,1
alert-bay-bc-canada,0.0,1
alexandria-egypt,0.0012384307905720132,9
alexandria-nsw-australia,0.0016501840445758208,9
algiers-algeria,0.003570289883899996,10
alicudi-porto-italy,0.0,1
allen-philippines,0.000733526170306527,9
almeirim-brazil,0.0,1
almera-spain,0.0,1
alofi-niue,0.0,1
alor-indonesia,0.0,1
alotau-papua-new-guinea,0.0,1
alsgarde-denmark,0.0,1
alta-vista-canary-islands-spain,0.006585938045020534,10
alupang-guam,0.0003862889337445293,9
alvares-brazil,0.0,1
alyangula-nt-australia,0.0,1
ama-japan,0.0,1
amanzimtoti-south-africa,0.003679546231578486,10
amatur-brazil,0.0,1
ambon-indonesia,0.004070793500890483,10
amderma-russia,0.0,1
amini-india,0.0,1
amwaj-island-bahrain,0.0,1
anadyr-russia,5.1889558264190495e-06,8
anchorage-ak-united-states,0.0007261463220200644,9
ancol-indonesia,0.0,1
ancon-ecuador,0.0,1
andalsnes-norway,0.0,1
andrott-india,0.0,1
angoon-ak-united-states,0.0,1
angra-do-heroismo-portugal,0.0,1
annaba-algeria,0.0008187019192794501,9
annies-bay-bermuda,0.0,1
annobon-equatorial-guinea,0.0,1
antofagasta-chile,0.0,1
anyer-indonesia,0.0010533580327630671,9
aogashima-japan,0.0,1
apalachee-beach-fl-united-states,0.0,1
apia-samoa,0.009639734640642711,10
aqaba-jordan,0.008952678452515,10
aracaj-brazil,0.0,1
arawa-papua-new-guinea,0.0,1
archirondel-jersey,0.0,1
ardbeg-point-united-kingdom,0.0,1
ardgour-united-kingdom,0.0,1
ardmair-united-kingdom,0.0,1
ardnacross-united-kingdom,0.0,1
ardneil-bay-united-kingdom,0.0,1
ardvasar-united-kingdom,0.0,1
ardyne-point-united-kingdom,0.0,1
arendal-norway,0.0,1
arica-chile,0.002091581611032412,9
arrecife-canary-islands-spain,0.0,1
arutua-french-polynesia,0.0,1
ashkelon-israel,4.843025437991113e-05,8
asilah-morocco,0.003578842051836132,10
atafona-brazil,0.0,1
atafu-tokelau,0.0,1
atalaia-do-norte-brazil,0.0,1
athens-greece,0.0010124229367990945,9
auckland-new-zealand,0.0039508709662354645,10
auki-solomon-islands,0.0,1
aupaluk-qc-canada,0.0,1
autazes-brazil,0.0,1
awashimaura-japan,0.0,1
aylesford-ns-canada,0.0,1
ayre-of-cara-united-kingdom,0.0,1
baa-indonesia,0.0,1
baby-beach-aruba,0.00018795551104584557,8
baclayon-philippines,1.2684114242357677e-05,8
bacolod-philippines,0.0,1
bacong-philippines,0.0,1
bagre-brazil,0.0,1
bahar-ic-caghaq-malta,5.765506473798944e-07,8
baie-comeau-qc-canada,0.0,1
baie-du-tombeau-mauritius,0.0,1
baie-jacotet-mauritius,0.0022436468442788592,9
baie-longue-saint-martin,0.0,1
baie-mahault-guadeloupe,0.0,1
baile-mr-united-kingdom,0.0,1
baillif-guadeloupe,0.0005653079097559865,9
balboa-panama,0.016743030799912132,10
balchik-bulgaria,0.0,1
baler-philippines,0.005105355982548965,10
bali-indonesia,0.0009207513838656913,9
balikpapan-indonesia,4.612405179039155e-06,8
balla-united-kingdom,0.0,1
ballesteros-philippines,0.0,1
ballinesker-ireland,0.0,1
balluta-bay-malta,0.0,1
ballygrangans-ireland,0.0,1
ballyhornan-united-kingdom,0.0,1
ballywater-united-kingdom,0.0,1
bamfield-bc-canada,0.0,1
banana-bay-virgin-islands-u-s-,0.0,1
bandaneria-indonesia,0.0,1
bandar-abbas-iran,0.0,1
bandar-lampung-indonesia,0.0,1
bandon-or-united-states,0.0,1
banff-united-kingdom,0.0,1
bangaram-india,0.0,1
bangga-indonesia,0.0,1
banjarmasin-indonesia,0.0029472500359863695,10
banjul-gambia,0.0,1
banyu-urip-indonesia,0.0011439725761762738,9
barbers-point-hi-united-states,0.0,1
barcelona-spain,0.0014713572521134906,9
barcelos-brazil,0.0,1
bari-italy,0.0022570036009431603,9
barka-oman,0.0027099321803473486,9
barranquilla-colombia,0.007249115427169257,10
barsebck-sweden,0.0,1
basseterre-saint-kitts-and-nevis,0.00292037316664101,9
bastia-france,0.0,1
bata-equatorial-guinea,0.004155344653328742,10
batam-indonesia,0.03437959979313365,10
batangas-philippines,0.041859883202369906,10
batu-prahu-indonesia,0.0,1
bauang-philippines,0.0,1
baubau-indonesia,0.0,1
bawean-indonesia,0.0,1
baxedes-greece,0.0,1
bay-of-london-united-kingdom,0.0,1
bay-of-tuquoy-united-kingdom,0.0,1
beausejour-guadeloupe,0.0,1
beaver-island-mi-united-states,0.0,1
beculuk-indonesia,0.0,1
beigan-taiwan,0.0,1
beihai-china,0.0,1
beirut-lebanon,0.0007499482545793977,9
bejaia-algeria,0.0,1
belize-city-belize,0.0,1
bella-bella-bc-canada,0.0,1
bella-coola-bc-canada,0.0,1
bellport-ny-united-states,0.0,1
belm-brazil,0.0,1
belm-do-solimes-brazil,0.0,1
belmont-united-kingdom,0.0,1
benculuk-indonesia,0.0,1
benghazi-libya,0.0031802533709474976,10
bengkalis-indonesia,0.0,1
benjamin-constant-brazil,0.0,1
benton-harbor-mi-united-states,0.0,1
bequia-saint-vincent-and-the-grenadines,0.0,1
berbera-somalia,0.001249625482308639,9
bergen-norway,0.020562678838803933,10
beverwijk-netherlands,0.0,1
biak-indonesia,0.0,1
bic-qc-canada,0.0,1
bidos-brazil,0.0,1
bilbao-spain,0.033887484988062516,10
bima-indonesia,0.0,1
bintan-indonesia,0.0,1
bintulu-malaysia,0.0,1
bitra-india,0.0,1
bizerte-tunisia,0.016231342100362478,10
blaabjerg-denmark,0.012406649243306103,10
black-river-jamaica,0.0,1
blackpool-sands-united-kingdom,0.0,1
blackpool-united-kingdom,0.0029946040624911716,10
blackwaterfoot-united-kingdom,0.0,1
blind-channel-bc-canada,0.0,1
bliss-landing-bc-canada,0.0,1
bluefields-nicaragua,0.0,1
boa-vista-brazil,0.0,1
boac-philippines,0.0,1
boat-bluff-bc-canada,0.0,1
boat-harbour-tas-australia,0.0,1
boca-raton-fl-united-states,0.010825891505852277,10
bod-norway,0.0029946040624911716,10
bogense-denmark,0.0,1
bogo-philippines,0.0,1
bold-point-bc-canada,0.0,1
bomba-belize,0.0,1
bonifacio-france,0.0,1
bonilla-island-bc-canada,0.0,1
boracay-philippines,0.0021365813890604126,9
borbby-strandbad-sweden,0.0,1
bosaso-somalia,0.0,1
bowser-bc-canada,0.0,1
bozyazi-turkey,0.0,1
bp-clair-ridge-united-kingdom,0.0,1
branahuie-bay-united-kingdom,0.0,1
brean-united-kingdom,0.0,1
bredene-belgium,0.0,1
brega-libya,0.0,1
breivika-norway,0.0,1
brekstad-norway,0.0,1
breves-brazil,0.0,1
brewers-bay-virgin-islands-u-s-,0.0,1
bridgetown-barbados,0.0,1
brighton-united-kingdom,0.0,1
brisbane-qld-australia,0.006610345355759619,10
brnnysund-norway,0.0,1
broadstairs-united-kingdom,0.0,1
brondby-denmark,0.0,1
brookhaven-ny-united-states,0.011160579156656306,10
brookvale-nsw-australia,0.0005925499278446864,9
budai-taiwan,0.0,1
bude-united-kingdom,0.06443097622132166,10
buenaventura-colombia,0.0,1
buenavista-philippines,0.0,1
buffalo-ny-united-states,0.0,1
bulan-philippines,0.0,1
bull-bay-jamaica,0.0005090942216364468,9
bulobulo-indonesia,0.0,1
bunkeflostand-sweden,0.0,1
bunkum-bay-montserrat,0.0,1
bunnefjorden-norway,0.0,1
