cable_key,risk_score,max_lp_risk,landing_points,risk_tier,importance_score,importance_tier,base_cost,baseline_material,baseline_reliability_tier,baseline_failure_factor,baseline_expected_cost,importance_material,importance_reliability_tier,importance_failure_factor,importance_expected_cost,sensitivity_material,sensitivity_reliability_tier,sensitivity_failure_factor,sensitivity_expected_cost,combined_material,combined_reliability_tier,combined_failure_factor,combined_expected_cost
id-philippine-domestic-submarine-cable-network-pdscn,409.6039084226298,35.09152140312628,33,10,0.0010036616964564,5,33000000,Stainless_steel,6,0.5,16500000.0,Nickel_superalloys,8,0.3,9900000.0,Nickel_superalloys,8,0.3,9900000.0,CFRP,10,0.1,3300000.0
id-converge-domestic-submarine-cable-network-cdscn,248.5830927644581,24.499759978117616,22,10,0.0003356485685496,4,22000000,Stainless_steel,6,0.5,11000000.0,GFRP,7,0.4,8800000.0,GFRP,7,0.4,8800000.0,CFRP,10,0.1,2200000.0
id-eac-c2c,221.66756652699675,39.562097160664806,16,10,0.0167435532989363,10,16000000,Stainless_steel,6,0.5,8000000.0,CFRP,10,0.1,1600000.0,CFRP,10,0.1,1600000.0,CFRP,10,0.1,1600000.0
id-america-movil-submarine-cable-system-1-amx-1,220.0311048293923,67.79335438014346,15,10,0.006460150709058,8,15000000,Stainless_steel,6,0.5,7500000.0,Titanium_alloys,9,0.2,3000000.0,Titanium_alloys,9,0.2,3000000.0,CFRP,10,0.1,1500000.0
id-submarine-cable-in-the-philippines-scip,209.53208117568272,39.562097160664806,17,10,0.0042822361026225,7,17000000,Stainless_steel,6,0.5,8500000.0,Titanium_alloys,9,0.2,3400000.0,Titanium_alloys,9,0.2,3400000.0,CFRP,10,0.1,1700000.0
id-2africa,197.8383025749645,31.18643051186188,50,10,0.005046246088344,8,50000000,Stainless_steel,6,0.5,25000000.0,Titanium_alloys,9,0.2,10000000.0,Titanium_alloys,9,0.2,10000000.0,CFRP,10,0.1,5000000.0
id-asia-pacific-gateway-apg,183.0934620304164,69.08999734350613,11,10,0.023696712939748,10,11000000,Stainless_steel,6,0.5,5500000.0,CFRP,10,0.1,1100000.0,CFRP,10,0.1,1100000.0,CFRP,10,0.1,1100000.0
id-pldt-domestic-fiber-optic-network-dfon,171.16642484571247,31.943038600339158,13,10,0.002326789882636,7,13000000,Stainless_steel,6,0.5,6500000.0,Titanium_alloys,9,0.2,2600000.0,Titanium_alloys,9,0.2,2600000.0,CFRP,10,0.1,1300000.0
id-southeast-asia-japan-cable-2-sjc2,148.25324428603946,32.917035661994284,10,10,0.0162741231193158,10,10000000,Stainless_steel,6,0.5,5000000.0,CFRP,10,0.1,1000000.0,CFRP,10,0.1,1000000.0,CFRP,10,0.1,1000000.0
id-asia-africa-europe-1-aae-1,131.82838786873555,27.63561423363544,20,10,0.0061923677570584,8,20000000,Stainless_steel,6,0.5,10000000.0,Titanium_alloys,9,0.2,4000000.0,Titanium_alloys,9,0.2,4000000.0,CFRP,10,0.1,2000000.0
id-south-america-1-sam-1,129.53867806054825,38.41312501796746,16,10,0.0066507369326237,8,16000000,Stainless_steel,6,0.5,8000000.0,Titanium_alloys,9,0.2,3200000.0,Titanium_alloys,9,0.2,3200000.0,CFRP,10,0.1,1600000.0
id-apcn-2,127.39799663015236,39.562097160664806,10,10,0.0102405647967015,9,10000000,Stainless_steel,6,0.5,5000000.0,CFRP,10,0.1,1000000.0,CFRP,10,0.1,1000000.0,CFRP,10,0.1,1000000.0
id-asia-link-cable-alc,125.42925226451572,69.08999734350613,8,10,0.0011454139527947,5,8000000,Stainless_steel,6,0.5,4000000.0,Nickel_superalloys,8,0.3,2400000.0,Nickel_superalloys,8,0.3,2400000.0,CFRP,10,0.1,800000.0
